;Dia Semana;;;;;;;;;6;7;1;2;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;2;;;;;;;1;;;;;;7;1;2;3;4;5;6;7;1;2;3;4;5;6;7;1;2;3;4;5;6;7;1;2;3;4;5;6;7;1;;Média Composta;;2;3;4;5;6;7;1;2;3;4;5;6;7;;Média Composta
Turno;Data;;;;;;;;;18/07;19/07;20/07;21/07;22/07;23/07;24/07;25/07;26/07;27/07;28/07;29/07;30/07;31/07;01/08;02/08;03/08;04/08;05/08;06/08;07/08;08/08;09/08;10/08;11/08;12/08;13/08;14/08;15/08;16/08;17/08;18/08;19/08;20/08;21/08;22/08;23/08;24/08;25/08;26/08;27/08;28/08;29/08;30/08;31/08;01/09;02/09;03/09;04/09;05/09;06/09;07/09;08/09;09/09;10/09;11/09;12/09;13/09;14/09;15/09;16/09;17/09;18/09;19/09;20/09;21/09;22/09;23/09;24/09;25/09;26/09;27/09;28/09;29/09;30/09;01/10;02/10;03/10;04/10;05/10;06/10;07/10;08/10;09/10;10/10;11/10;12/10;13/10;14/10;15/10;16/10;17/10;18/10;20/10;20/10;21/10;22/10;23/10;24/10;25/10;26/10;27/10;28/10;29/10;30/10;31/10;01/11;02/11;03/11;04/11;05/11;06/11;07/11;08/11;09/11;10/11;11/11;12/11;13/11;14/11;15/11;16/11;17/11;18/11;19/11;20/11;21/11;22/11;23/11;24/11;25/11;26/11;27/11;28/11;29/11;30/11;;;;01/12;02/12;03/12;04/12;05/12;06/12;07/12;08/12;09/12;10/12;11/12;12/12;13/12;;
1;Lectra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65%;71%;67%;68%;63%;;65%;69%;68%;65%;68%;71%;;66%;65%;67%;66%;60%;70%;;65%;74%;70%;73%;71%;;;75%;77%;74%;73%;74%;77%;;71%;86%;72%;76%;75%;73%;;57%;57%;73%;70%;73%;20%;;67%;69%;71%;69%;66%;64%;;57%;65%;62%;60%;66%;61%;;;66%;;63%;75%;70%;73%;71%;67%;;;;;;;;;70%
;Comelz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63%;65%;64%;69%;63%;;73%;72%;66%;64%;71%;68%;;65%;68%;67%;70%;54%;64%;;59%;65%;63%;63%;65%;;;59%;57%;68%;60%;64%;56%;;64%;60%;69%;63%;57%;71%;;48%;48%;64%;69%;68%;68%;;62%;47%;63%;63%;64%;71%;;40%;56%;58%;57%;57%;69%;;;60%;;64%;60%;67%;54%;60%;51%;;;;;;;;;59%
;Emma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63%;69%;59%;44%;63%;;61%;68%;57%;62%;56%;65%;;55%;68%;69%;64%;57%;60%;;46%;60%;66%;61%;52%;;;40%;64%;61%;56%;54%;44%;;47%;75%;61%;66%;68%;55%;;38%;38%;60%;74%;70%;61%;;62%;62%;56%;68%;56%;39%;;61%;60%;67%;58%;68%;44%;;;58%;;57%;72%;55%;72%;66%;67%;;;;;;;;;65%
;Laser;;;;;;;;;57%;69%;;60%;65%;68%;69%;66%;53%;;69%;60%;59%;65%;71%;68%;;66%;72%;70%;68%;58%;59%;;48%;68%;60%;58%;65%;62%;;58%;57%;88%;89%;88%;83%;;79%;83%;85%;83%;93%;83%;;90%;94%;92%;80%;81%;92%;;75%;87%;87%;81%;76%;83%;;79%;66%;84%;88%;81%;85%;;83%;86%;82%;85%;82%;45%;;80%;87%;79%;77%;79%;84%;;72%;72%;73%;74%;69%;80%;;77%;80%;83%;87%;80%;80%;;75%;77%;77%;77%;80%;;;84%;85%;80%;83%;70%;80%;;76%;77%;83%;82%;84%;75%;;82%;82%;74%;76%;73%;46%;;63%;71%;75%;68%;76%;61%;;44%;69%;59%;67%;65%;59%;;;71%;;55%;81%;70%;70%;67%;70%;;;;;;;;;69%
2;Lectra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70%;66%;67%;64%;63%;;62%;59%;70%;71%;64%;71%;;70%;68%;68%;65%;68%;76%;;74%;76%;76%;68%;77%;;;76%;74%;80%;73%;73%;77%;;77%;90%;79%;80%;86%;72%;;77%;73%;74%;78%;70%;64%;;75%;73%;71%;82%;80%;67%;;73%;55%;71%;68%;68%;62%;;;74%;;60%;70%;79%;76%;75%;48%;;;;;;;;;68%
;Comelz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72%;63%;58%;69%;57%;;66%;68%;64%;62%;64%;52%;;66%;60%;62%;71%;57%;60%;;60%;53%;68%;62%;55%;;;56%;62%;71%;70%;68%;53%;;63%;64%;65%;66%;64%;53%;;60%;66%;63%;60%;59%;46%;;64%;57%;64%;74%;57%;52%;;57%;61%;69%;74%;68%;56%;;;61%;;65%;64%;46%;66%;60%;61%;;;;;;;;;60%
;Emma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59%;70%;80%;63%;60%;;61%;59%;63%;62%;64%;69%;;71%;60%;64%;41%;60%;61%;;58%;57%;49%;59%;30%;;;51%;57%;59%;54%;;65%;;48%;80%;75%;62%;68%;58%;;49%;66%;70%;68%;61%;50%;;63%;69%;60%;74%;63%;37%;;75%;64%;53%;66%;60%;42%;;;62%;;69%;56%;60%;64%;62%;55%;;;;;;;;;61%
;Laser;;;;;;;;;60%;58%;;48%;68%;50%;66%;69%;51%;;66%;51%;58%;60%;67%;58%;;67%;66%;65%;67%;66%;61%;;63%;66%;56%;69%;64%;53%;;66%;65%;56%;82%;82%;71%;;74%;71%;80%;76%;79%;71%;;77%;74%;75%;71%;70%;61%;;77%;76%;68%;80%;60%;63%;;67%;72%;74%;78%;58%;63%;;;60%;43%;81%;67%;41%;;76%;70%;66%;75%;76%;76%;;63%;70%;59%;68%;65%;64%;;77%;71%;72%;60%;64%;71%;;72%;72%;72%;62%;64%;;;65%;59%;71%;70%;65%;58%;;68%;61%;53%;59%;68%;59%;;55%;59%;45%;66%;53%;25%;;63%;64%;66%;64%;61%;66%;;5%;17%;28%;20%;53%;24%;;;50%;;44%;57%;66%;54%;52%;48%;;;;;;;;;54%
3;Lectra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60%;69%;71%;71%;64%;;66%;66%;69%;64%;65%;68%;;66%;71%;67%;70%;72%;;;72%;74%;76%;73%;68%;;;70%;74%;80%;78%;79%;74%;;90%;77%;78%;80%;78%;77%;;75%;77%;76%;78%;79%;69%;;71%;73%;63%;76%;75%;61%;;68%;65%;75%;68%;69%;71%;;;74%;;69%;72%;67%;71%;74%;70%;;;;;;;;;71%
;Comelz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68%;63%;57%;57%;51%;;57%;72%;64%;71%;65%;65%;;62%;63%;69%;55%;69%;;;72%;73%;70%;64%;60%;;;71%;57%;61%;72%;65%;63%;;71%;69%;61%;66%;62%;62%;;68%;62%;70%;76%;87%;79%;;58%;60%;60%;79%;75%;30%;;66%;71%;62%;60%;78%;72%;;;67%;;74%;58%;32%;57%;41%;56%;;;;;;;;;53%
;Emma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58%;57%;80%;58%;68%;;71%;57%;50%;73%;67%;71%;;74%;70%;53%;41%;35%;;;51%;58%;46%;52%;28%;;;51%;60%;63%;66%;62%;65%;;76%;66%;67%;68%;63%;63%;;77%;75%;75%;77%;85%;62%;;79%;75%;60%;80%;64%;40%;;67%;64%;66%;44%;52%;47%;;;66%;;55%;45%;55%;62%;63%;36%;;;;;;;;;53%
;Laser;;;;;;;;;74%;67%;;63%;63%;70%;76%;74%;70%;;73%;63%;74%;69%;;70%;;77%;79%;;74%;78%;83%;;79%;83%;84%;79%;91%;81%;;72%;86%;82%;88%;76%;75%;;81%;74%;75%;83%;84%;87%;;77%;72%;81%;78%;86%;84%;;85%;81%;73%;79%;78%;76%;;68%;77%;71%;82%;81%;69%;;83%;80%;82%;73%;84%;62%;;68%;78%;78%;83%;81%;54%;;61%;66%;65%;66%;62%;56%;;64%;72%;67%;71%;68%;;;77%;70%;72%;67%;68%;;;66%;69%;78%;77%;76%;64%;;70%;71%;81%;85%;79%;84%;;68%;69%;68%;60%;67%;61%;;64%;61%;64%;70%;63%;47%;;64%;69%;64%;61%;57%;53%;;;67%;;69%;60%;61%;62%;62%;60%;;;;;;;;;62%
